head,abd,femur
27.06,23.8,5.66
24.73,22.02,5.07
24.01,23.44,4.81
23.3,21.15,4.79
29.26,29.85,5.85
26.64,22.97,5.52
25.93,21.55,5.17
26.42,25.49,5.09
22.14,20.54,4.84
24.98,23.25,5.36
23.54,20.43,4.61
24.65,20.96,5.18
24.8,22.81,4.72
23.79,19.82,4.49
23.78,21.7,4.93
25.63,24.15,5.34
28.38,27.47,5.31
27.93,24.52,5.41
25.27,21.51,5.06
24.21,21.48,5.22
23.7,22.5,4.88
22.88,21.69,4.62
27.32,23.55,5.17
28.96,25.32,5.58
23.47,20.77,4.79
24.75,19.68,4.83
22.06,19.04,4.36
23.28,19.43,4.45
26.59,23.96,4.98
25.61,24.93,4.82
30.13,26.48,5.54
24.51,20.95,4.71
22.19,20.95,4.3
27.34,23.1,5.03
27.3,26.98,5.47
26.12,23.06,5.09
24.82,21.61,5.34
22.88,22.79,4.53
26.4,26.75,5.37
26.23,23.63,5.22
28.98,28.2,5.9
25.02,22.47,4.91
24.95,20.39,4.92
26.64,24.99,5.22
25.23,22.63,5.34
24.28,23.51,4.66
23.62,19.49,4.76
